priority,qualityScore,source,title,url,price,referencePrice,discountPercent,franceDelivery
"critical","100","Dealabs erreurs de prix","Erreur de prix - Lot de 12 gants de protection Reis Blutrix10 - bleus, taille 10","https://www.dealabs.com/share-deal/3146566","1.34","16.47","92","true"
"critical","100","Dealabs Hot France","Lot de 10 Savons d'Alep Tradition Suprême - 10 x 200g","https://www.dealabs.com/share-deal/3342894","14","64","78","true"
"critical","100","Dealabs erreurs de prix","Selection de couches Pampers en erreur de prix - Ex : Taille 2, 100 couches à 4.57 € - Super U Tonnay-Charente (17), Saint-Python (59)","https://www.dealabs.com/share-deal/3267229","4.57","15.32","70","true"
"critical","100","Dealabs Hot France","[Clients EDF] Lave-linge séchant AI ecobubble 9+6 kg - WD90DG5B15BE","https://www.dealabs.com/share-deal/3343321","559.2","999","44","true"
"critical","97","Dealabs Hot France","Marsupilami : Le Secret du Sarcophage sur Nintendo Switch 1|2","https://www.dealabs.com/share-deal/3343370","13.47","29.79","55","true"
"critical","94","Dealabs Hot France","Climatiseur OneClima Pro 12000 BTU - Inverter R32, Wi-Fi en option, A++ froid, A+ chauffage (climaconvenienza.it)","https://www.dealabs.com/share-deal/3343317","234","360","35","true"
"critical","93","Dealabs Hot France","Remise sur une sélection d'articles Venum - Ex : Gants Contender 1.5 XT","https://www.dealabs.com/share-deal/3343295","22.5","44.99","50","true"
"critical","93","Dealabs Hot France","Scie trépan Bosch Expert (pour Bois résineux, Panneau aggloméré, Ø 159 mm, Professional Accessoire Perceuses)","https://www.dealabs.com/share-deal/3342989","40.97","76.78","47","true"
"critical","91","Dealabs Hot France","Claquettes homme Ellesse Avatar - Noir, taille de 40 à 45","https://www.dealabs.com/share-deal/3342923","12.99","24.99","48","true"
"high","89","Dealabs Hot France","Fumoir Home&Garden XL 2L - 3 niveaux avec thermomètre + accessoires (Vendeur tiers)","https://www.dealabs.com/share-deal/3343143","59.95","103.7","42","true"
"high","87","Dealabs Hot France","Aspirateur sans sac Bosch BGS05A322","https://www.dealabs.com/share-deal/3343226","47.99","79.99","40","true"
"high","86","Dealabs Hot France","Double vinyle Lenny Kravitz - Blue Electric Light","https://www.dealabs.com/share-deal/3342885","19.99","33.99","41","true"
